scenario_id,asset,attack_type,targeted_property,impact_rating,feasibility_score,feasibility_bucket
T001,component,spoofing,confidentiality,severe,0,low
T002,channel,man_in_the_middle_attack,confidentiality,severe,0,low
T003,component,identity_spoofing_when_logging_in_with_a_password,confidentiality,severe,0,low
T004,component,software_packages_originating_from_an_unauthorized_source,confidentiality,severe,0,low
T005,component,hardware_components_originating_from_an_unauthorized_source,confidentiality,severe,1,low
T006,component,spoofing_of_external_communication,confidentiality,severe,0,low
T007,component,spoofing_of_internal_communication,confidentiality,severe,1,low
T008,data,location_spoofing,confidentiality,severe,1,low
T009,component,exploitation_of_spoofing_weaknesses,confidentiality,severe,1,low
T010,component,tampering,integrity,moderate,0,low
T011,channel,manipulation_of_transferred_data_in_external_communication,integrity,moderate,0,low
T012,channel,manipulation_of_transferred_data_in_internal_communication,integrity,moderate,1,low
T013,component,manipulation_of_data_during_computation,integrity,moderate,1,low
T014,component,manipulation_of_data_residing_in_memory,integrity,moderate,1,low
T015,component,manipulation_of_code,integrity,moderate,1,low
T016,component,parameter_injection,integrity,moderate,1,low
T017,component,code_injection,integrity,moderate,1,low
T018,component,command_injection,integrity,moderate,2,medium
T019,component,fault_injection,integrity,moderate,1,low
T020,channel,replay_attack,integrity,moderate,0,low
T021,component,manipulation_of_configuration_and_settings,integrity,moderate,0,low
T022,channel,protocol_manipulation,integrity,moderate,0,low
T023,component,exploitation_of_tampering_weaknesses,integrity,moderate,1,low
T024,component,physical_data_tampering,integrity,moderate,2,medium
T025,component,bga_data_tampering,integrity,moderate,2,medium
T026,component,lga_data_tampering,integrity,moderate,2,medium
T027,component,qfp_data_tampering,integrity,moderate,1,low
T028,component,tsop_data_tampering,integrity,moderate,1,low
T029,component,wson_data_tampering,integrity,moderate,2,medium
T030,component,repudiation,non-repudiation,moderate,0,low
T031,component,non_repudiation_software_mechanism_bypass_,non-repudiation,moderate,1,low
T032,component,exploitation_of_repudiation_weaknesses,non-repudiation,moderate,1,low
T033,data,information_disclosure,confidentiality,moderate,0,low
T034,channel,interception,confidentiality,moderate,0,low
T035,channel,interception_of_internal_data,confidentiality,moderate,1,low
T036,channel,interception_of_external_data,confidentiality,moderate,0,low
T037,component,unintended_disclosure_of_pii_data,confidentiality,moderate,0,low
T038,component,software_or_firmware_disclosure,confidentiality,moderate,0,low
T039,component,functional_observation,confidentiality,moderate,1,low
T040,component,side_channel_attacks,confidentiality,moderate,1,low
T041,component,reverse_engineering,confidentiality,moderate,1,low
T042,component,physical_data_extraction,confidentiality,moderate,2,medium
T043,component,bga_data_extraction,confidentiality,moderate,2,medium
T044,component,lga_data_extraction,confidentiality,moderate,2,medium
T045,component,qfp_data_extraction,confidentiality,moderate,1,low
T046,component,tsop_data_extraction,confidentiality,moderate,1,low
T047,component,wson_data_extraction,confidentiality,moderate,2,medium
T048,component,denial_of_service,availability,moderate,0,low
T049,channel,disrupt_wireless_data_transmission,availability,moderate,1,low
T050,channel,disrupt_wired_data_transmission,availability,moderate,1,low
T051,component,disrupt_computation,availability,moderate,1,low
T052,component,flooding,availability,moderate,0,low
T053,component,jamming,availability,moderate,0,low
T054,component,gps_jamming,availability,moderate,1,low
T055,component,excessive_allocation_of_resources,availability,moderate,0,low
T056,component,resource_leak_exposure_and_depletion,availability,moderate,0,low
T057,component,denial_of_wallet,availability,moderate,0,low
T058,component,elevation_of_privilege,confidentiality,severe,0,low
T059,component,gaining_access_via_privilege_escalation,confidentiality,severe,0,low
T060,component,gaining_processing_capabilities_via_privilege_escalation,integrity,severe,1,low
T061,component,privilege_abuse,confidentiality,severe,0,low
T062,data,open_development_or_debug_channels,confidentiality,severe,0,low
T063,component,exploitation_of_software_weakness,confidentiality,severe,1,low
T064,component,exploitation_of_misconfiguration,confidentiality,severe,1,low
T065,data,reconnaisance,confidentiality,moderate,0,low
T066,data,gather_target_information___from_other,confidentiality,moderate,0,low
T067,component,gather_target_information___from_vehicle,confidentiality,moderate,1,low
T068,channel,manipulate_environment,integrity,severe,1,low
T069,component,adversarial_machine_learning,integrity,severe,1,low
T070,component,analog_sensor_attacks,integrity,severe,1,low
T071,channel,downgrade_to_insecure_protocols,integrity,severe,1,low
T072,component,jamming_or_denial_of_service,availability,moderate,0,low
T073,channel,manipulate_communication,integrity,severe,1,low
T074,channel,relay_communications,integrity,severe,1,low
T075,channel,rogue_cellular_base_station,integrity,severe,1,low
T076,channel,rogue_wi_fi_access_point,integrity,severe,1,low
T077,component,initial_access,confidentiality,severe,1,low
T078,component,"aftermarket,_customer,_or_dealer_equipment",confidentiality,severe,1,low
T079,component,browser_compromise,confidentiality,severe,0,low
T080,component,exploit_via_radio_interface,confidentiality,severe,0,low
T081,component,exploit_via_removable_media,confidentiality,severe,1,low
T082,component,malicious_app,confidentiality,severe,1,low
T083,component,phishing,confidentiality,major,0,low
T084,component,physical_modification,confidentiality,severe,1,low
T085,component,supply_chain_compromise,confidentiality,severe,1,low
T086,component,execution,integrity,severe,0,low
T087,component,command_and_scripting_interpreter,integrity,severe,1,low
T088,component,native_api,integrity,severe,1,low
T089,component,abuse_standard_diagnostic_protocol_to_temporarily_modify_execution,integrity,severe,1,low
T090,component,persistence,confidentiality,severe,1,low
T091,component,abuse_standard_diagnostic_protocol_for_persistence,confidentiality,severe,1,low
T092,component,disable_software_update,confidentiality,severe,0,low
T093,component,"modify_os_kernel,_boot_partition,_or_system_partition",confidentiality,severe,1,low
T094,component,modify_isolated_execution_environment,confidentiality,severe,1,low
T095,component,compromise_cryptographic_security,confidentiality,severe,1,low
T096,component,privilege_escalation,confidentiality,severe,1,low
T097,component,abuse_elevation_control_mechanism,confidentiality,severe,1,low
T098,component,exploit_co_located_computing_device_for_privilege_escalation,confidentiality,severe,0,low
T099,component,exploit_os_vulnerability,confidentiality,severe,1,low
T100,component,exploit_isolated_execution_environment_vulnerability,confidentiality,severe,1,low
T101,component,hardware_fault_injection,confidentiality,severe,1,low
T102,component,process_injection,confidentiality,severe,1,low
T103,component,reporgram_co_located_computing_device_for_privilege_escalation,confidentiality,severe,0,low
T104,component,compromise_cryptographic_security,confidentiality,severe,1,low
T105,component,defense_evasion,authenticity,severe,0,low
T106,component,bypass_code_integrity_protections,authenticity,major,1,low
T107,component,bypass_network_filtering,authenticity,severe,1,low
T108,component,bypass_uds_security_access,authenticity,severe,0,low
T109,component,bypass_mandatory_access_control,authenticity,severe,1,low
T110,component,compromise_cryptographic_security,confidentiality,severe,1,low
T111,component,credential_access,authenticity,severe,0,low
